,정제된 댓글,label
32773,나의 선택이 맞았다는 확신을 준 영상 삼프로 감사합니다,1
32774,결국 돌고 돌아 풍력 태양력 그럼 풍력터빈 몸체는 어떻게 만듬 화력발전으로 만들어야지 지금 채산성나오지 또 그리고 풍력 태양력 하려면 있어야하는데 는 뭐로 만들겨 발전소 규모의 만들려면 전기자동차 못 만든다 왜 배터리 가격 급증할테니깐 원전마피아 이러시는분 있는데 에너지쪽은 그냥 서로 밥그릇 경쟁하는겁니다 정치라고 보시면되요 저 사람들도 자기들 밥그릇 늘릴려고 남의 에너지 섹터 비방하고 그런겁니다 결론은 다 똑같음 이 영상만 보면 오직 그린 에너지만이 살길이고 모든에너지를 풍력 태양력 수소화 해야한다는 뉘앙스인데 좀만 리포트 찾아보시면 재사용에너지 도 절대 불가능 정도로 달성하기 어려운 수치입니다 대부분의 선진국에서도 미래의 년 에너지 배분을 원자력 재사용에너지 화석연료 거의 에 가깝게 배분하고 있습니다 이런영상보고 혹시라도 모든에너지가 재사용에너지로 될꺼라는 허황된 믿음을 가지게 될 분들을 염려하여 글을 남김니다,0
32775,고정으로 듣고있어요 각분야의 전문가들 말씀 들을수 있어 너무 소중한 시간이랍니다 감사합니다,1
32776,집중해서 들었고 안철수님의 뛰어나 식견에 감탄하고있습니다 좋은영상 감사합니다,1
32777,항상 감사드립니다 주린이로 처음 주식에 입문해서 삼프로 시청하며 국내주식과 해외 주식을 하게 되었습니다 김프로님 정프로님 이프로님 고맙습니다 앞으로 삼프로 더욱더 번창하세요 만 축하드려요,1
32778,이재명 똑똑하고 식견이 대단하군,1
32779,축하드려요 선한 영향력 주셔서 정말 감사드립니다,1
32780,전무님 시원시원 설명잘해주셔서 멋짐뿜뿜,1
32781,최고의 조언입니다,1
32782,두분 경제 정책에 대한 퀄리티 차이가 심하네요 잘 봤습니다,1
32783,삼프로티비 매일매일 라이브 놓치지 않고 잘 시청하고 있습니다 프로 통해서 정말 많은 것들을 즐겁고 새롭게 배워나가고 있어요 각 분야의 전문가들 통해서 다양한 시각으로 경제를 알아갈 수 있도록 도움주셔서 너무 감사합니다 만 구독자되신거 축하드리고 저도 그 안에 포함된다는게 너무 뿌듯하네요 앞으로도 좋은 방송 잘 부탁드리며 늘 건강하세요,1
32784,가지 위험요인을 듣고나니 오히려 더 나스닥에 대한 확신이 듭니다 갈곳잃은 돈들의 안전한 피난처 저는 로 갑니다,0
32785,이항영 교수님의 인사이트 잘 봤습니다 명쾌하시네요,1
32786,파친코보다 슬픈 드라마네요 파친코 따라 정프로님 주식도 떡상하길 응원합니다,0
32787,왜 이런강의를 이제야 듣는거죠 흑흑,0
32788,사회자가 잘 모르고 답을 제대로 못하면서 무슨 프로를 한다고 그래요 공부 좀 하세요,1
32789,또 나오셨네 읊기만 하시는 테슬라 대변인 지겹다 지겨워,0
32790,아침에 방송이 안좋아서 많이 힘드셨지요 괜찮습니다 늘 감사하게 잘 듣고 공부하고 있습니다 힘내시고 변함없이 좋은 방송 응원할께요,1
32791,무슨 말을 하는건지 말의 논점이 없네요 문장의 끝맺음을 못하는거 보니까 기본적으로 자신의 정책 철학이 없어서 보입니다,0
32792,유지웅 연구원님 정말 잘 보시죠,1
32793,년도에 년 지금 우리나라 모습을 상상할 수 있었나 년 걱정하는 안철수보니 답답하다 어떻게 해서든 네가티브,0
32794,재미있게 보고있습니다,1
32795,아직 부족한 답변이 많네요 네 후보의 토론을 통해 부족한 발언 등을 더 들어봤으면 좋겠습니다,0
32796,시간 넘게 보는중인데 상황은 아는데 사항에 대한 대책은 조금 부족하네요 국가가 할 일 할 수 있는 일이 있는데 그냥 저냥 시간 때우는게 보이네요,0
32797,삼프로 주식대학 여름학기 삼프로 주식대학 박병창의 매매의 기술 염승환의 친절한 주식기초교육 강의 신청 쏙쏙 투자문답 질문하기 삼프로 메리츠증권 하반기 투자전략과 업종별 시장전망 강의 신청 삼프로 주식대학 봄학기 염블리의 친절한 주식 기초 교육 미주미 장우석 본부장 이항영 대표의 미국주식 완전정복 강의 신청 삼프로 시장전망과 주도종목 삼프로 주식대학 업종 기초 교육 강의 신청 교재 구매 구매하시는 교재는 강의 신청 시 첨부되는 교재와 동일한 내용입니다 광고문의 광고문의 강의 및 서비스 문의 경제의신과함께 삼프로 신과함께 라이선스 크리에이티브 커먼즈 저작자 표시 라이선스 재사용 허용,1
32798,삼프로 만 축하드립니다 매일 매일 챙겨보고 있어요 감사합니다,1
32799,출근길에 매일 활력이 되는 삼프로 항상 응원합니다 오래오래 함께해주세요 메리크리스 마스입니다,1
32800,만 구독 축하드려요 점점 컨텐츠도 늘어가고 체계적으로 변하는 모습이 너무 좋네요 항상 유익한 정보만 받아가서 필수로 시청하고 있습니다 감사하고 또 감사합니다,1
32801,휴가를 잘못다녀오신듯,0
32802,김소장님 귀엽고 멋지고 목소리도 매력적이고 현명하시고 오호,1
32803,요약 노 트 박병창부장님 시간이 없거나 이해가 힘드신분들을 위한 댓글입니다 그냥 보실때나 배속으로 보실때 확실히 이해를 도와드립니다 다만 요약만 보시면 금방 까먹으니 꼭 영상을 시청해주세요 나스닥 다우 상승 긴급구호자금 합의 경기부양책 협의 기대 다만 규모에 대한 실망감 및 반도체 성장 전망으로 나스닥 상승 트럼프 중국 중국해양석유 블랙리스트 지정 수혜기업과 피해기업을 확인해보기 화이자 백신 벨기에에서 미국으로 수송 호주 기준금리 동결 호주 달러는 경기와 산업재 민감 기대감 자산매입규모 억 달러로 확대하지 않을까 장기채 매입하고 단기채 매도 수익률곡선통제 지표 년만기 국채수 익률 넘어가 급락한 이력있음 달러인덱스 올 최저 구리선물 년 이후 최고 상해지수 상승 중국시장을 봐야하는 이유 코스피 코스닥의 개연성 투자 시장 전망의 오류들로 혼란스러울 때 연준이 가장 정확하다 정말 간략히 목차만 작성했습니다 너무 많은 요약은 삼프로 영상시청시간에 영향을 주기때문에 그래도 목차만보고 영상을 시청하시면 이해를 당연히 도와줄것입니다 삼프로 박병창부장님 감사합니다,1
32804,프로님들 항상 감사해요,1
32805,부동산 안정시킨뎈,1
32806,게스트가 역대급이네 정말쉽게 알기쉽게 설명해줘서 좋았습니다,1
32807,밝은 미래를 위한 선택은 안철수네,1
32808,정말 많은 분들의 요청으로 감사제 마감일을 긴급 연장합니다 꼭 기간 내에 구매 부탁드립니다 감사제 바로가기 삼프로 온라인 강의 수강후기 이벤트를 진행합니다 후기를 작성해주신 총 분께 원하는 강의 개를 무료로 드리겠습니다 설문 바로가기 강의 공급 및 기업 단체구매 문의 지식인들에게 배우는 일프로 구독하기 채용공고 확인 및 지원 방법 광고문의 광고문의 강의 및 서비스 문의 경제의신과함께 삼프로 신과함께,1
32809,정말 좋은 내용이었습니다 감사합니다,1
32810,재미있어 댓글중에서 퍼왔습니다 질문 이름이 뭔가요 이 이재명입니다 윤 이름이 라는건 원래 굉장히 중요한것인데 일단 나라에서 에 출생신고를 받으면 주민등록증을 발급해줍니다 그런데 지금 현 정부에서 그 출생신고를 무작정 받다보면 일하는 사람들이 굉장히 힘이 들 수도 있는데 에 일단 출생신고를 하는 이유는 애기가 아무래도 태어나서 인데 에 윤석열이라는 이름도 아무래도 윤석열이라는 이름으로 출생신고가 되서 그런거 같은데 에 그래서 윤석열이 된게 아닌가 합니다,1
32811,만 구독자 축하드립니다 올해 안 만 가즈아,1
32812,정우창 팀장님 잘들었습니다 이야기도 궁금해요 감사합니다,1
32813,명쾌하고 막힘없는 설명으로 머릿속에 쏙쏙 교수님의 멋진 강의로 더 많은것을 알고싶게 되었습니다 부의 미래 꼭 읽고싶어요,1
32814,안철수 이재명 후보님중 한분이 대통령이 되신다면 꼭 한분은 총리든 나라를 위해 함께 손발맟추시면 대한민국은 더 든든할거 같습니다 차산업에서 앞서가는 통창력 안후보님 다방면에서 해박한 지식과 실천력 그리고 설득력 가지신 두 후보님 응원합니다,1
32815,대단히 유익한 프로 감사합니다,1
32816,회식자리에서 이사님이 우리회사 비전에 대해 뜬구름 잡듯 두리뭉실하게 설명하는거랑 똑같이하네요 어떤 자기철학 지혜 어떤것도 보이지 않네요,1
32817,윤교수님 책 꼭 읽어볼게요 늘 좋은 말씀 감사합니다,1
32818,한국의 금융은 앞으로 세계의 중심에 설수 있도록 계속 발전해야 합니다 한국은 항상 늦게 시작했지만 항상 그분야의 기술을 따라잡은 저력이 있습니다 반도체 디스플레이 이제는 한국의 문화까지 수출하고 있습니다 역사적으로 볼때 주도국의 면모는 세계적 아티스트가 나왔을때 입니다 비틀즈 시대는 영국 엑스재팬 일본 마이클잭슨 미국 한국입니다 그렇습니다 이제는 한국이 주도국이 되면서 금융분야가 발전 될 것입니다 지금이 바로 한국의 르네상스시대가 될 것입니다,1
32819,오늘도 재밌게 잘봤습니다 염이사님 감사합니다,1
32820,늘 반복되는 비슷한 분석만 보다가 이런 명확한 시각을 볼 수 있어서 너무 좋았습니다 부도 많이 기대됩니다 감사합니다,1
32821,법정스님이 얘기했다 좋은글은 초등학생도 읽을수 있는글 초점은 가지 지금 물가안정을 유지 인정하는가 기업채 국채 매입이 계속 유지되는가 이 두가지를 기자놈들이 질문해서 어떠한 방향성으로 파월이 의견을 도춣해서 대답하는가 이것이 가장 큰핵심이지 이 동영상 뭔 얘기인지 모르겠네,1
32822,가난한 내마음을 채워줘 왜 눈물이 나는건지,0
32823,계속 듣는게 어지럽고 토할거 같아요 멀미가 날지경 뭐라 하는건지 도대체,0
32824,삼 프로 세 분의 질문의 질이 굉장히 좋네요 두 후보의 토론 대신 아쉬운 마음으로 이걸 보고 있는데 생각보다 질이 높아 매우 만족했습니다,1
32825,성남시장 경기도지사를 잘 한 이유를 알겠네요 진짜 잘 아시네요,1
32826,정프로 사랑합니다 엘앤에프 빵터젔다 귀여우셔,1
32827,이 나라가 사막이며 황무지이고 인구가 하나도 없는 땅이라면 그리고 저 중공땅에 서구의 신기술들이 유입되지 않았다면 조선족과 중공놈들이 이 한국 땅을 탐낼 리가 없지 발전 발달된 이 한국의 터를 보니 이 터를 다 빼앗고 싶은 것이지 지들이 두목 질 대장놀이를 하는 한국 사람들을 부려먹으며 왕 노릇하며,1
32828,안유화교수님 정말 도움되는 강의 감사합니다,1
32829,행복경제 조낸 향복하다,1
32830,요즘 시장보면서 간과하지 말아야 할 것은 개인 비중이 상당히 커졌다는 것 같아요 삼프로분들도 기억할지 모르겠으나 작년 시장이 안좋을때 여기도 채팅 댓글 수준이 쓰레기장 수준이였죠 그 착하고 좋은 사람만 있을 것 같은 삼프로 방송에요 분명 크든 작든 조정이나 하락이 있을 수 있죠 지금은 대부분 벌고 있으니 그냥 이론적인 조정이나 하락엔 고개가 끄덕여지겠지만 그 개개인들 계좌가 파란색이 들어오고 예상보다 큰 조정이나 하락장이 펼쳐질땐 이전과는 다른 공포가 공포를 부르는장이 오고 여기 계신 삼프로 및 출연자분들을 원망하고 말꼬투리 잡아 항의하는 사람들이 득실거리는 시절도 오진 않을까 걱정도 됩니다 누구도 경험해보지 못한 상승 뒤엔 더 높은 절벽이 있을 수 있고 그 절벽 앞에선 사람들이 이전과는 다른 엄청나게 많은 개인일거란거 이런 댓글을 다는 이유는 제가 하락론자가 아닙니다 지금도 이상이 주식입니다 어느순간 보니 이제 보수적인 분들을 돈못버는 바보로 취급하고 무시하는 분위기가 보이기 시작합니다 조심해야 한다하면 고개는 끄덕이지만 마음과 손은 흥분상태인 분들이 많아 보입니다 과하게 주의를 줘도 부족하지 않습니다 훗날 돈 잃고 삼프로 사무실 찾아가 난리 피우는 사람 나오지 않게 투자 결과에 대한 책임이 분명 본인에게 있음을 또 그 결과가 좋지 않을 수 있음을 단순 문구말고 방송으로 좀 소개해 주세요 요즘 초등학생도 주식을 한다니 훗날 이 부작용이 얼마나 클지 너무 걱정됩니다 부탁드립니다,0
32831,에구 감사합니다 프로 정말로 나라를 구해셨네요,1
32832,임정희님 팬도 아닌데 울컥하네요 좋은 자리 마련해 주셔서 감사합니다,1
32833,정말 질적으로 다르네 아무리 잘 봐주려고 해도 한쪽으로 너무 기우네 한쪽은 경제 전문가로써 들과 티키타카로 토론 하니까 들 얼굴이 겁나 밝은데 윤석열 말을 듣는 들 얼굴 표정이 이게 도대체 먼내용이야 조선일보에 나오는 제목만 보고 토론 하는 폐해 인것 같다 공부하려면 제대로 공부해야 지 저렇게 수박 겉핡기 식으로 속성과외로 하는 사람이 대한민국 국가에 들어가 있는 대한민국 대통령이 되겠다고 삼프로 담당자님 맞짱 토론 부탁드립니다 경제에 대해서 누가 더 전문가고 대한민국 경제를 맞길수 있는지 평가해야 합니다 윤석열 이재명 맞짱토론을 통해서 진짜를 가립시다 윤석열씨 토론 그만 피하세요 당신이 초짜라는거 다 알아요 그래도 대한민국 대통령 되겠다는 사람이 현실은 파악하고 살아야죠,1
32834,정치만 하는 줄 알았는데 경제에 대해서도 이렇게 해박한 지식을 갖고 있는 줄 이 방송을 보고 알았습니다 정말 국정운영의 최고의 적임자인 것 같습니다,1
32835,두 후보 영상 댓글에 우리 국민들 젠틀하게 의견 나누는 수준이 너무 멋집니다 대한민국에 좋은 일이 많이 생기길,1
32836,이런 기사가 올라 왔더라고요 단독 태양광 풍력 공급과잉에 블랙아웃 비상 초과공급에 따른 블랙아웃 리스크가 있다면 방지할 수 있는 사업 분야도 있을텐데 설명해 주실 수 있나요,0
32837,너무 재미있고 신기한 내용들 세계사 공부 잘하고 있습니다 경제에다 역사까지 최선생님과 삼프로님들 머리숙여 감사드립니다,1
32838,오늘 영화 아수라를 다시봤습니다 안남시장역을 맡은 황정민배우 정말 연기를 잘하는거같습니다 보는내내 감탄이 나오네요,1
32839,잘보고 갑니다 내 머릿속에 남은 말 글로벌 스탠더드 공정하게 투표 할수 있도록 도와 주셔서 감사합니다,1
32840,잘 보고이쓔,1
32841,년만에 처음으로 주식 매매를 하고 있는데 삼프로 가 큰도움이 되고 있습니다 보면 볼 수록 투자를 하지 않더라도 인사이트를 넓히기 위해 꼭 봐야하는 컨텐츠라는 생각이듭니다 세분 프로님들 앞으로도 더 좋은 컨텐츠 부탁드립니다 대한민국이 금융 강국이 되는 그날 까지 쭉,1
32842,후보 선택하는데 많은 도움이 되었습니다 해박한 경제지식 자식세대 먹거리 찾기 방향 분야 아주 중요하다고 생각합니다 이번 선거 투표해야 되겠어요 소신투표 할랍니다 삼프로 감사합니다,1
32843,모두가 말은 안하지만 가장 현실적인 조언이라고 생각됩니다 감사합니다,1
32844,이걸 면접이라고 본다면 너는 탈락이다 다른 면접자는 물어본 질문에 즉시 대답하는건 물론 거기에 자기 경험을 덧붙여서 설명까지 하는 해박함이 있는데 너는 아는것도 없을 뿐더러 그 대답조차도 빙빙 돌고 돌아서 결국은 결론이 없어 그러니까 대화도 지루하고 얘기하다보면 니가 조금 아는 검찰얘기 수사얘기로 돌아오는거야 이번은 탈락이야 다음에 공부하고 다시 와라,0
32845,감사합니다,1
32846,박병창님 조은말 감사해요,1
32847,역시 삼프로 네요 정말 재밌게 몰입하며 봤습니다 이재명 후보님이 워낙 박학다식하시고 분명하고 심오한 정치철학이 있으신 분인줄 익히 알고 있었지만 이렇게 경제까지 해박한 지식과 철학이 있으신 것에 그저 감탄만 할 따름입니다 아마 대통령에 당선되시면 우리나라 역대 대통령중 가장 해박하고 논리적이며 지혜로운 대통령이 될 것이라 생각됩니다 삼프로 덕분에 이재명 후보님의 면면이 더 잘 알려지게 된것에 정말 감사드립니다 삼프로 티비가 이래서 나라를 구했다는 말이 수긍이 되는군요 삼프로티비가 더욱 공익적이고 국민의 알 권리를 충분히 충족시켜주는 국민채널로 무한히 성장하길 바라겠습니다,1
32848,안철수 후보님 반가워요 안철수 나오는 방송을 보는 순간은 힐링이 됩니다 대통령이 될 때까지 지지할 테니 절대로 양보하지 마세요 양보받은 것들이 다른 소리를 해대니 화가 납니다 순이익이 억이라는 회사라니 안랩 진즉 주식샀어야 되는 데 아 아깝다 이런 박학다식한 사람이 대통령이 된느 세상에서 살고 싶다,0
32849,김프로님 정말 너무 현명하신듯 몸을 쓰고 정신건강을 회복하라는 조언은 정말 귀담아 들어시면 좋을 것 같아요 회복하시고 난 후에 꼭 하고 싶으면 으로 하세요 으로 까지 못벌어도 자신이 있으시다니 년에 배씩 불리면 년이면 억입니다 단순계산이긴하지만요 년이면 살 전이네요,1
32850,어제도 오늘도 내일도 미리 감사드립니다,1
32851,놓칠 뻔 했잖아요 최준영 박사의 지구본 연구소에도 광고좀 해주세욤 삼프로 티비에 새로 올린 거 있다고 이프로님 같이 뵈서 넘나 좋음,1
32852,대 아들을 이걸 보면서 투표권 행사하기로 의견일치 보았네요 차이나는 클라스 역시 경제능력있는 후보로 결정했네요 윤석열후보는 공부좀 하시길 간절한 마음으로 부탁드려요,1
32853,심상정 후보님의 부동산정책 이야기를 들으면서 감동받았습니다 복있는자는 악인의 꾀를 쫒지 아니하며 오만한 자의 길에 서지 않는다 는 시편 편이 떠오르며 시대의 흐름에 흘러 흘러 되는대로 정책을 내시는게 아니라 불가능해 보이더라도 이상적인 토지정책을 추진하시는 꿋꿋한 모습에 박수를 보냅니다,1
32854,염부장님 축하드립니다 앞으로도 승승장구하시길 바랍니다,1
32855,상식의 반대는 욕심,0
32856,교수님 오늘도 감사합니다,1
32857,신청했습니다 감사의 마음으로 제가 우리 공장에서 일하다가 부른 노래하나 선물로 드립니다,1
32858,댓글을 보면서 아직도 적지 않은 분들이 조중동 쓰레기 언론에 현혹되고 있었다는 것에 놀라웠습니다만 일부 유투브 언론들 삼프로 열린공감 덕분에 진실을 파악하게 되는 것 같아 천만 다행 이라 생각합니다 삼프로 화이팅,1
32859,그런데도 김동연 경기지사는 친중 행보를 계속 하겠지요 그래야 중국통에게서 지지를 받을 수 있다니,0
32860,이런 분이 계셔서 내 계좌가 빨간 겁니다 감사합니다,1
32861,앞으로 값이 정상이겠네요 성장주 말하고 금융주가가 엉망인 나라에서 가치주가 가치가 있을지 주식의 열매인 가치가 가치가 없는 시장의 성장주는 대부분 얼마니 허상인지 알려주는 잣대라고 봅니다,1
32862,외교연구원장님 인터뷰를 통해서 바이든 정부 출범 후 대중 대북 대일 관계를 통해서 우리 증시의에 미치는 영향을 가름해 보는 좋은 기회였습니다 감사드립니다 주중에 만 가즈아 삼프로 화이팅,1
32863,대략적인 개념은 이해했습니다만 탈중앙화된 화폐시장이라는게 저는 무섭네요 그거 결국 중고나라 아닌가요 언제나 평화로운 중고나라요 쉽게말해 믿음의 문제같네요 모든 책임은 각각의 개인에게 돌아갈것 같다는 생각도 들구요 보호받지 못하는거래는 역시나 불안합니다 교수님이 말씀하신 그런 꿈같은 이야기는 년정도는 더 걸려야 할거같네요 그리고 탈중앙회되어서 지출비용이 준다는건 인건비가 준다는 것이고 인건비가 준다는것은 실업율의 상승도 의미하니 걱정도 되구요 역시나 어렵네요 경제라는건,0
32864,좋은 기회였네요 이재명 후보의 능력은 과거부터 관심이 많아 알고 있었지만 삼프로라는 전문 유튜브를 통해 대중들이 알 수 있는 기회가 된거에 감격,1
32865,잘봤습니다 감사합니다,1
32866,그간 본 저녁라이브 중 가장 제 머리를 맑게해주는 편이었습니다 감사합니다,1
32867,희망 민생경제 앞으로 민생회복 제대로 나를 위해 이재명,1
32868,가이드 부만 지인 추천해줬었는데 삼프로 최고,1
32869,늘 감사합니다,1
32870,아무리 그래도 매번 틀린사람을 계속 부르는건 잘못된 판단을 야기하는거 아닙니까 이분이 라이트하우스랑 뭐가 다른지,0
32871,일년전에도 김준성 애널리스트것 보고 정말 깜짝 놀랐었는데 역쉬 믿음을 져버리지 않는군요 이렇게 완벽하게 전달을 하기위해서는 얼마만큼의 준비를 하셔야하는지 그 노고에 다시한번 감사의 말씀을 올립니다 테슬라 소액 주주로서 앞으로 얼마만큼 발전하며 혁신의 혁신을 이뤄낼지 가늠조차 안되지만 김준성님 덕분에 큰그림이 그려집니다 다시한번 이런 분석을 저희에게 제공해주셔서 감사드리고 프로 제작진께도 감사의 말씀 올립니다,1
32872,서영수씨 인생실전입니다 투기 주택이 투기 집을 딱 원하는 그 시기 원하는 동 층을 살 수 있을거 같아요 듣다가 어이 없어서 꺼버림,0
32873,많은것을 고민하게만드는 시간이었습니다 감사합니다,1
32874,오건영 부부장님 오늘도 정말 잘 들었습니다 감사합니다,1
32875,고영경교수 유투브 강추 입니다 정말 잼있게 기업사 말하시네요,1
32876,빅사이즈 꿀잼 꿀정본데 댓글 개,1
32877,우리나라가 뒤로다시 후퇴하지않으려면 누구를 선택해야할지 확신이 서네요 조그마한 가게를 운영하더라도 내가모르면 사람을 쓰는데도 한계가있는법 답이 보입니다 윤후보는 절대아니라는 화신과 그리고 당신의 허물은 겸손하라고 준 벌 나라를 구한 삼프로 화이팅,0
32878,소신있는 견해 매우 감사합니다 도움 많이 되었습니다,1
32879,삼프로를 들은지 어느덧 년이 되었네요 주식 시작한 후 얼마되지 않아 코로나로 어마어마한 손실을 기록할 때 삼프로를 들으면서 잘 버텨냈습니다 삼프로를 통해 다양한 애널리스트들의 좋은 의견들을 들을 수 있어 한쪽이 치우치지 않은 관점을 가질 수 있는 것 같습니다 좋은 방송 해주셔서 정말 감사합니다,1
32880,삼프로 상담소 참 좋아요 메마른 모래밭에 오아시스 같은 느낌이네요 또 스장님도 처음 알게 됐어요 노래도 정말로 잘 들았습니다 토요일 아침이 푸근합니다 고맙습니다,1
32881,미국 변호사비 이깝지않다고 생각한다 공정한 판단을 받을 수 없는 기회비용일 뿐이다 만일 국내에서 올바른 판결을 기대한다면 미국까지 갔을까 정부의 양비론은 피해자에 대한 차가해 일 뿐이다 기숳 필요없었다 는 는 왜 의 폭스바겐 견적을 빼낸걸까,1
32882,박세익 전무님은 이미 많은 영감을 받고있지만 윤대현 교수님의 말씀도 많은 도움이 될것 같습니다 감사드립니다,1
32883,삼프로 티비 오건형 프로 애청자고 매우 애정하는 사람인데 박선호씨 초대는 매우 실망스럽네요 정책실패의 책임자를 불러다가 입장듣는것은 삼프로 티비 취지에 맞지 않습니다 국토부 일방적인 정책에 피해보는 국민들 많습니다 저들의 정책은,0
32884,명품 강의 감사합니다,1
32885,케이뱅크 광고때문에 영상 보기가 불편해요,0
32886,빌게이츠가 지지하는 핵발전은 현재의 핵분열이 아니라 핵융합발전입니다 우라늄 고갈의 문제도 없고 핵폐기물도 발생하지 않습니다 현재 핵발전소나 기술로는 안되고 새로 지어야하는거죠 한국의 정치적 논란과는 무관합니다,0
32887,늘 감사합니다 새해복많이많이 받으세요,1
32888,박성진 대표는 보석같은 분 감사합니다,1
32889,우와 만 추카드립니다 금융인의 한사람으로써 귀중한 정보전달과 해석에 감사드리고 대한민국의 경제에 대해 함께 진지하면서도 재미있게 고민할수있어 좋습니다 온국민이 삼프로티비를 구독하는 그날까지 고고씽,1
32890,어제 진짜 정프로님 덕분에 많이 웃었어요 개그맨 보다 웃겨요 정프로님없으면 삼프로 안볼듯 해요 안구건조증도 얼른 나으셨으면 좋겠어요 감사합니다,1
32891,주주는 아니지만 주주들은 헛소리라 생각할듯 하네요 참 믿고 투자하기 힘든 우리나라 시장임을 또한번 느끼네요 에휴,0
32892,끝 까지 봤습니다 내 인내심에 칭찬을 어 어,1
32893,주린이에게 힘이 되는 프로그램이네요 항상 뼈때리는 말씀해주시는 박부장님께 큰 감사드립니다,1
32894,축하합니다 삼프로덕분에 경제지식이 늘고 떨리는 마음으로 주식계좌도 만들었습니다 앞으로도 많이 배우겠습니다 지구본연구소도 잘보고 있어요 앞으로도 삼프로의 승승장구를 기원하겠습니다,1
32895,오마나 바비킴 요즘 지쳐있었는데 힐링 됩니다 바비킴을 엄청 좋아했는데 그동안 주식에 미쳐 잊고 있었네요,1
32896,와 진짜 이런게 토론이지 진짜 이런 토론을 공짜로 본다니 삼프로님들 정말 감사합니다 오늘도 김프로님 날카로운 견해 빛이나네요,1
32897,소문듣고 왔는데 와 충격 그 자체네요 국민들 정신 차립시다,0
32898,떼로 덤비지 기술을 떼로 도적질하니까 땟넘 모든 걸 양적으로 덤비니까 양넘이지 뭐,0
32899,좋은 정보 좋은 자료 감사합니다,1
32900,김교수님 긍정적 전망은 참 오랜만이네요,1
32901,회 청강했습니다 필기하며 공부했습니다 정말 감사합니다,1
32902,월 일까지만 오종태 강환국 서로 달라 더 좋은 시너지 패키지 구매시 만원 상당의 혜택 증정 수강료 만 천원 즉시 할인 강의 외 가지 추가 혜택 무료 제공 수강 기간 추가 연장 회 제공 더 늦기 전에 수강신청하기 오종태의 투자 신세계 주가를 결정하는 가지 변수 이해하기 구매시 도서 복잡계 세상에서의 투자 증정 지금 바로 수강신청하기 강환국의 자산 배분 전략 시간만에 만드는 나만의 주식 투자 알고리즘 구매시 도서 거인의 포트폴리오 알고리즘 백테스팅 이용권 증정 지금 바로 수강신청하기 강의 공급 및 기업 단체구매 문의 지식인들에게 배우는 일프로 구독하기 채용공고 확인 및 지원 방법 광고문의 광고문의 강의 및 서비스 문의 경제의신과함께 삼프로 신과함께,1
32903,감사합니다,1
32904,박기영님 못하는게 뭔가요 넘 분위기 좋네요 신곡 최고입니다 위안이 되는 노래들 잘 들었어요 저두 팬 되었네요,1
32905,서이사님 솔직한 이야기 감사합니다 책 주문 했습니다,1
32906,김프로님이 저에겐 산타입니다 사탄 아니라요 감사합니다,1
32907,요약 노 트 염승환차장님 시간이 없거나 이해가 힘드신분들을 위한 댓글입니다 그냥 보실때나 배속으로 보실때 확실히 이해를 도와드립니다 다만 요약만 보시면 금방 까먹으니 꼭 영상을 시청해주세요 빅히트 어떤가요 아침에는 따상 하지만 현재 정도입니다 어제 엔터삼사 대표님들 소주한잔 하셨을거다 이재용 부회장 귀국 예상이 맞은것 같다 아직 긍적적인지는 모르지만 내년 실적이 좋아지니까 설비가 늘어날것으로 예상한다 스튜디오 드래곤 이야기 저기 해외가서 글로벌리 놀라고 했더니 서울대 입학해서 주가가 빠졌다 더킹 화까지 보고 인내심에 한계가 왔다 김프로님 피셜 장 시작합니다 전체적으로 좋지만 그중에서 올라가는 섹터는 증권 디스플레이 철강 반도체 자동차 화학 헬스케어 안좋은 섹터는 호텔 조선 운송 에너지 삼성전기가 와이파이 모듈사업 철수하고 억정도가 들어온다 그리고 중국 굴삭기 엄청납니다 최대한 간단하게 그러나 이해가 쉽게 목차화 하였습니다 너무 많은 요약은 시청률에 영향을 주기때문에 오늘도 행복한 하루되세요 염승환 차장님 삼프로사랑합니다,1
32908,기독교 이제 나라 발전의 암덩어리들,1
32909,믿고보는 삼프로에 정치인이 나오니 기분잡치네요 경제 주식전문가 전문가 출연시켜서 경제방송에 더 집중해주세요,1
32910,제일 잘 몰랐던 후보님이셨는데 많은 의견들을수 있어서 너무 좋았고 깜짝놀랐습니다 응원합니다,1
32911,자산폭등 혼돈의 시대에서 살아남으려면 여러가지 공부를 해야될거 합니다 좋은 정보 감사합니다,1
32912,역시 이프로님 맥을 정확히 잘 짚어서 말씀을 해주시네요 감사합니다,1
32913,행복경제 통일대박 고마워요 윤산타,1
32914,감사합니다,1
32915,정치랑 경제는 뗄 수 없다고 생각은 합니다 제대로 된 사람이 나왔다면 반응이 달랐겠죠 이 영상의 좋싫비는 이 채널에 대한 것이라기 보다는 게스트에 대한 것이라고 받아들여주셨으면 합니다 일단 저도 게스트가 싫어서 를 누릅니다,1
32916,안그래도 이제 나오실때가 되지않았나 했는데 오늘 고퀄 명강의 정말 감사해요 복습도 할게요,1
32917,인도 펀드 투자중 잘되는 중인데 강의 들으니 우중충하네요 재밌는 강의 감사해요 편 기다릴께요 우중충한 인도가 오르는 이유도 궁금합니다 잼나요,1
